file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s02e17b_sentence_speaker_table.tsv	215	43	43	54	0	183	32	0	148	53	14	180	8	27	0	0	14	12
friends_s02e18a_sentence_speaker_table.tsv	271	42	42	44	0	243	24	4	215	37	19	197	20	54	0	0	15	11
friends_s02e18b_sentence_speaker_table.tsv	221	20	19	57	1	205	14	2	156	51	14	161	13	46	1	0	12	7
friends_s02e19a_sentence_speaker_table.tsv	259	32	32	38	0	238	18	3	214	32	13	200	17	40	2	0	10	4
friends_s02e19b_sentence_speaker_table.tsv	234	40	40	53	0	204	26	4	170	42	22	193	14	27	0	0	18	10
friends_s02e20a_sentence_speaker_table.tsv	268	53	53	60	0	225	41	2	176	72	20	215	12	39	2	0	18	29
friends_s02e20b_sentence_speaker_table.tsv	316	83	77	76	6	264	42	10	215	76	25	236	9	71	0	0	15	22
friends_s02e21a_sentence_speaker_table.tsv	281	75	75	66	0	244	32	5	201	55	25	237	7	37	0	0	21	14
friends_s02e21b_sentence_speaker_table.tsv	279	54	53	70	1	238	37	4	192	49	38	211	13	54	1	0	35	17
friends_s02e22a_sentence_speaker_table.tsv	268	53	53	92	0	226	39	3	160	76	32	193	15	60	0	0	29	16
friends_s02e22b_sentence_speaker_table.tsv	216	75	75	61	0	169	46	1	128	78	10	150	11	45	10	0	9	20
friends_s02e23a_sentence_speaker_table.tsv	274	64	64	70	0	243	30	1	190	68	16	186	19	69	0	0	15	14
friends_s02e23b_sentence_speaker_table.tsv	213	21	21	37	0	196	16	1	167	35	11	164	10	35	4	0	10	6
friends_s02e24a_sentence_speaker_table.tsv	254	36	36	59	0	230	24	0	184	58	12	196	13	45	0	0	12	10
friends_s02e24b_sentence_speaker_table.tsv	195	52	48	65	4	148	41	6	115	60	20	132	16	47	0	0	14	14
