file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s06e15d_sentence_speaker_table.tsv	260	29	28	41	1	238	21	1	205	41	14	227	6	27	0	0	13	13
friends_s06e17a_sentence_speaker_table.tsv	198	21	21	31	0	181	17	0	158	32	8	178	5	15	0	0	8	9
friends_s06e17b_sentence_speaker_table.tsv	208	33	33	53	0	183	23	2	146	50	12	157	6	45	0	0	10	9
friends_s06e18a_sentence_speaker_table.tsv	275	53	53	71	0	241	30	4	192	56	27	212	15	48	0	0	23	12
friends_s06e18b_sentence_speaker_table.tsv	290	42	42	51	0	260	30	0	225	56	9	239	11	40	0	0	9	12
friends_s06e19a_sentence_speaker_table.tsv	233	19	19	32	0	217	16	0	192	32	9	203	7	22	1	0	9	9
friends_s06e19b_sentence_speaker_table.tsv	297	34	34	60	0	272	22	3	227	47	23	254	11	32	0	0	20	10
friends_s06e20a_sentence_speaker_table.tsv	224	33	33	58	0	197	27	0	149	56	19	181	10	33	0	0	19	17
friends_s06e20b_sentence_speaker_table.tsv	267	45	45	60	0	231	36	0	201	44	22	232	7	26	2	0	22	5
friends_s06e21a_sentence_speaker_table.tsv	263	44	44	53	0	247	15	1	203	48	12	191	11	61	0	0	11	7
friends_s06e21b_sentence_speaker_table.tsv	262	40	40	45	0	242	18	2	208	41	13	215	19	28	0	0	11	7
friends_s06e22a_sentence_speaker_table.tsv	269	44	44	59	0	244	23	2	199	57	13	194	17	58	0	0	11	8
friends_s06e22b_sentence_speaker_table.tsv	250	24	24	46	0	233	17	0	197	32	21	188	12	50	0	0	21	7
friends_s06e23a_sentence_speaker_table.tsv	253	27	27	47	0	238	13	2	200	43	10	196	13	44	0	0	8	5
friends_s06e23b_sentence_speaker_table.tsv	289	30	30	32	0	268	21	0	247	32	10	258	11	20	0	0	10	9
friends_s06e24a_sentence_speaker_table.tsv	253	17	17	39	0	245	6	2	213	20	20	212	7	33	1	0	19	0
friends_s06e24b_sentence_speaker_table.tsv	258	39	39	52	0	236	22	0	195	50	13	218	14	26	0	0	13	11
friends_s06e24c_sentence_speaker_table.tsv	268	32	32	27	0	247	18	3	232	25	11	233	8	27	0	0	8	9
friends_s06e24d_sentence_speaker_table.tsv	229	26	26	46	0	207	20	2	175	39	15	169	11	49	0	0	13	8
