file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s05e13a_sentence_speaker_table.tsv	250	31	31	61	0	229	19	2	184	41	25	205	6	37	2	0	24	4
friends_s05e13b_sentence_speaker_table.tsv	267	43	43	49	0	231	32	4	207	48	12	210	7	50	0	0	8	11
friends_s05e14a_sentence_speaker_table.tsv	251	23	23	57	0	234	16	1	188	31	32	229	4	18	0	0	32	6
friends_s05e14b_sentence_speaker_table.tsv	250	23	23	49	0	234	16	0	196	32	22	228	6	16	0	0	22	5
friends_s05e15a_sentence_speaker_table.tsv	249	44	44	45	0	221	27	1	188	42	19	215	10	24	0	0	18	13
friends_s05e15b_sentence_speaker_table.tsv	242	41	39	47	2	216	21	5	190	33	19	210	7	25	0	0	14	5
friends_s05e16a_sentence_speaker_table.tsv	289	45	45	65	0	253	34	2	206	65	18	236	5	46	2	0	16	18
friends_s05e16b_sentence_speaker_table.tsv	292	44	42	72	2	261	28	3	200	73	19	212	18	62	0	0	16	19
friends_s05e17a_sentence_speaker_table.tsv	239	59	59	87	0	194	42	3	136	83	20	184	6	49	0	0	17	16
friends_s05e17b_sentence_speaker_table.tsv	240	61	61	57	0	195	41	4	159	68	13	182	8	50	0	0	9	24
friends_s05e18a_sentence_speaker_table.tsv	280	40	40	65	0	252	27	1	202	56	22	225	10	45	0	0	21	12
friends_s05e18b_sentence_speaker_table.tsv	342	70	70	61	0	298	39	5	262	67	13	275	12	55	0	0	9	18
friends_s05e19a_sentence_speaker_table.tsv	279	45	45	58	0	244	34	1	205	51	23	243	13	23	0	0	22	16
friends_s05e19b_sentence_speaker_table.tsv	256	38	38	46	0	226	28	2	193	44	19	222	11	21	2	0	18	16
friends_s05e20a_sentence_speaker_table.tsv	246	36	36	45	0	219	27	0	190	47	9	209	8	29	0	0	9	11
friends_s05e20b_sentence_speaker_table.tsv	255	45	45	47	0	233	20	2	195	38	22	231	6	18	0	0	20	13
friends_s05e21a_sentence_speaker_table.tsv	281	45	45	49	0	250	29	2	220	42	19	249	9	23	0	0	17	12
friends_s05e21b_sentence_speaker_table.tsv	324	57	57	72	0	275	47	2	232	76	16	240	10	74	0	0	14	18
friends_s05e22a_sentence_speaker_table.tsv	306	54	54	70	0	270	33	3	219	58	29	261	8	37	0	0	26	17
friends_s05e22b_sentence_speaker_table.tsv	310	56	56	73	0	274	31	5	215	57	38	267	13	27	3	0	34	20
friends_s05e23a_sentence_speaker_table.tsv	251	44	44	55	0	215	36	0	187	37	27	235	2	13	1	0	27	7
friends_s05e23b_sentence_speaker_table.tsv	251	26	26	46	0	231	20	0	201	28	22	235	5	11	0	0	22	4
friends_s05e23c_sentence_speaker_table.tsv	261	65	65	62	0	221	40	0	183	49	29	231	5	25	0	0	29	16
friends_s05e23d_sentence_speaker_table.tsv	239	43	43	64	0	205	32	2	164	56	19	187	13	39	0	0	17	11
