file	rows	original_missing_speaker_rows	filled_rows	review_rows	unresolved_rows	high_confidence_rows	medium_confidence_rows	low_confidence_rows	annotation_high_confidence_rows	annotation_medium_confidence_rows	annotation_low_confidence_rows	visual_present_rows	visual_partial_rows	visual_absent_rows	visual_unknown_rows	visual_unavailable_rows	speaker_offscreen_rows	visual_disambiguation_rows
friends_s07e10a_sentence_speaker_table.tsv	225	38	38	50	0	204	21	0	163	48	14	191	11	23	0	0	14	12
friends_s07e10b_sentence_speaker_table.tsv	227	29	29	74	0	207	19	1	145	58	24	162	12	52	1	0	23	8
friends_s07e11a_sentence_speaker_table.tsv	261	27	27	41	0	242	19	0	207	36	18	232	7	22	0	0	18	12
friends_s07e11b_sentence_speaker_table.tsv	296	48	45	82	3	262	29	5	202	65	29	239	9	48	0	0	24	11
friends_s07e12a_sentence_speaker_table.tsv	200	25	25	49	0	181	15	4	144	43	13	162	7	31	0	0	10	6
friends_s07e12b_sentence_speaker_table.tsv	215	54	53	63	1	180	33	2	141	58	16	159	8	47	1	0	14	10
friends_s07e13a_sentence_speaker_table.tsv	250	36	36	53	0	220	28	2	178	63	9	169	13	66	2	0	7	17
friends_s07e13b_sentence_speaker_table.tsv	299	28	28	54	0	281	15	3	237	43	19	225	19	55	0	0	16	7
friends_s07e14a_sentence_speaker_table.tsv	247	37	37	55	0	218	27	2	183	54	10	192	9	46	0	0	9	9
friends_s07e14b_sentence_speaker_table.tsv	226	37	37	49	0	202	23	1	163	49	14	186	10	30	0	0	13	13
friends_s07e15a_sentence_speaker_table.tsv	289	29	29	47	0	265	22	2	232	41	16	237	8	44	0	0	14	9
friends_s07e15b_sentence_speaker_table.tsv	272	24	20	33	4	256	12	4	235	20	17	209	13	50	0	0	13	4
friends_s07e16a_sentence_speaker_table.tsv	230	40	40	54	0	204	25	1	163	48	19	191	9	30	0	0	18	12
friends_s07e16b_sentence_speaker_table.tsv	206	34	34	43	0	189	15	2	152	38	16	178	5	23	0	0	14	11
friends_s07e16c_sentence_speaker_table.tsv	233	34	34	47	0	210	21	2	179	39	15	205	5	23	0	0	13	6
friends_s07e17a_sentence_speaker_table.tsv	248	21	21	63	0	234	12	2	181	46	21	183	6	59	0	0	19	4
friends_s07e17b_sentence_speaker_table.tsv	220	23	23	33	0	203	16	1	178	25	17	199	8	13	0	0	16	7
friends_s07e18a_sentence_speaker_table.tsv	251	45	45	45	0	224	27	0	192	41	18	213	7	31	0	0	18	13
friends_s07e18b_sentence_speaker_table.tsv	247	55	55	55	0	214	32	1	185	41	21	211	8	28	0	0	20	7
friends_s07e19a_sentence_speaker_table.tsv	251	15	15	29	0	239	10	2	215	27	9	217	12	21	1	0	7	6
friends_s07e19b_sentence_speaker_table.tsv	226	24	21	52	3	204	19	3	171	33	22	185	8	33	0	0	19	3
friends_s07e20a_sentence_speaker_table.tsv	270	14	14	52	0	259	10	1	214	37	19	221	4	45	0	0	18	4
friends_s07e20b_sentence_speaker_table.tsv	272	51	48	47	3	249	17	6	218	31	23	218	15	39	0	0	18	7
friends_s07e21a_sentence_speaker_table.tsv	173	35	35	63	0	143	30	0	104	45	24	150	6	17	0	0	24	6
friends_s07e21b_sentence_speaker_table.tsv	263	34	34	68	0	234	28	1	184	50	29	234	4	24	1	0	29	11
friends_s07e22a_sentence_speaker_table.tsv	269	33	33	47	0	246	21	2	213	39	17	243	6	20	0	0	15	8
friends_s07e22b_sentence_speaker_table.tsv	256	36	36	38	0	233	20	3	209	33	14	204	14	38	0	0	11	8
friends_s07e23a_sentence_speaker_table.tsv	249	39	39	47	0	217	29	3	187	44	18	193	11	45	0	0	15	15
friends_s07e23b_sentence_speaker_table.tsv	253	42	34	68	8	222	19	12	172	55	26	192	13	47	1	0	15	12
friends_s07e23c_sentence_speaker_table.tsv	289	29	29	46	0	269	17	3	232	40	17	239	12	38	0	0	14	11
friends_s07e23d_sentence_speaker_table.tsv	214	39	39	51	0	185	28	1	152	41	21	175	7	32	0	0	20	11
