episode	season	gold_n_scenes	gold_n_segments	pred_n_scenes	gold_n_scenes_win	gold_n_segments_win	pred_n_scenes_win
s04e23d	4	11	25	16	9	23	16
s05e01a	5	6	23	20	6	23	20
s05e01b	5	12	24	19	12	24	19
s05e02a	5	10	25	22	10	25	22
s05e02b	5	6	20	20	6	20	20
s05e03a	5	7	25	17	7	25	17
s05e03b	5	4	24	26	4	24	26
s05e04a	5	11	21	16	11	21	16
s05e04b	5	11	23	18	11	23	18
s05e05a	5	13	28	15	12	25	15
s05e05b	5	11	23	20	11	23	20
s05e06a	5	13	26	21	13	26	21
s05e06b	5	9	21	23	9	21	23
s05e07a	5	15	27	22	15	27	22
s05e07b	5	15	28	26	15	28	26
s05e08a	5	4	21	18	4	21	18
s05e08b	5	4	25	20	4	25	20
s05e09a	5	12	24	14	12	24	14
s05e09b	5	10	15	16	10	15	16
s05e10a	5	14	23	18	14	23	18
s05e10b	5	14	21	20	14	21	20
s05e11a	5	9	17	18	9	17	18
s05e11b	5	10	23	20	10	23	20
s05e12a	5	15	23	21	15	23	21
s05e12b	5	9	20	18	9	20	18
s05e13a	5	15	23	25	15	23	25
s05e13b	5	7	9	16	7	9	16
s05e14a	5	11	21	14	11	21	14
s05e14b	5	7	28	26	7	28	26
s05e15a	5	9	17	15	9	17	15
s05e15b	5	12	24	17	12	24	17
s05e16a	5	9	17	15	9	16	15
s05e16b	5	14	22	26	14	22	26
s05e17a	5	15	37	15	15	37	15
s05e17b	5	13	28	16	13	26	16
s05e18a	5	15	28	13	15	28	13
s05e18b	5	10	25	21	10	25	21
s05e19a	5	6	20	16	6	20	16
s05e19b	5	6	27	17	6	27	17
s05e20a	5	14	21	17	14	21	17
s05e20b	5	9	14	12	9	14	12
s05e21a	5	9	20	17	9	20	17
s05e21b	5	13	33	18	13	33	18
s05e22a	5	10	20	16	10	20	16
s05e22b	5	14	23	13	14	23	13
s05e23a	5	10	23	22	10	23	22
s05e23b	5	12	20	15	12	20	15
s05e23c	5	15	23	15	15	23	15
s05e23d	5	11	21	23	11	21	23
s06e01a	6	8	17	20	8	17	20
s06e01b	6	16	22	14	16	22	14
s06e02a	6	9	19	13	9	19	13
s06e02b	6	10	14	12	10	14	12
s06e03a	6	8	16	9	7	15	9
s06e03b	6	9	16	12	9	16	12
s06e04a	6	13	23	12	13	23	12
s06e04b	6	20	29	24	20	29	24
s06e05a	6	10	21	13	10	21	13
s06e05b	6	11	25	13	11	25	13
s06e06a	6	10	19	14	10	19	14
s06e06b	6	11	17	16	11	17	16
s06e07a	6	13	18	14	13	18	14
s06e07b	6	9	16	13	9	16	13
s06e08a	6	14	21	11	13	20	11
s06e08b	6	17	23	14	17	23	14
s06e09a	6	8	22	38	8	22	38
s06e09b	6	4	21	37	4	21	37
s06e10a	6	12	30	27	12	30	27
s06e10b	6	7	17	19	7	17	19
s06e11a	6	10	16	10	10	16	10
s06e11b	6	11	24	15	11	24	15
s06e12a	6	13	19	17	13	19	17
s06e12b	6	8	18	15	8	18	15
s06e13a	6	7	17	15	7	17	15
s06e13b	6	12	33	18	12	33	18
s06e14a	6	10	15	15	10	15	15
s06e14b	6	11	30	16	11	30	16
s06e15a	6	7	19	14	7	19	14
s06e15b	6	13	27	15	13	26	15
s06e15c	6	15	26	17	15	26	17
s06e15d	6	15	23	16	14	22	16
s06e17a	6	13	24	12	12	23	12
s06e17b	6	13	31	24	13	31	24
s06e18a	6	14	25	15	14	25	15
s06e18b	6	12	26	20	12	26	20
s06e19a	6	12	18	14	12	18	14
s06e19b	6	8	21	17	8	21	17
s06e20a	6	10	33	19	9	32	19
s06e20b	6	8	43	23	8	43	23
s06e21a	6	11	22	12	11	22	12
s06e21b	6	12	26	14	12	25	14
s06e22a	6	12	25	18	12	25	18
s06e22b	6	11	28	17	11	28	17
s06e23a	6	13	27	16	13	27	16
s06e23b	6	12	19	18	12	19	18
s06e24a	6	11	28	19	11	28	19
s06e24b	6	13	28	20	13	28	20
s06e24c	6	11	18	17	11	18	17
s06e24d	6	7	15	18	7	15	18
